Frequency Bin [Hz],x-axis [mg],y-axis [mg],z-axis [mg]
658.798,0,0,0
659.637,0,0,3.814
660.477,0,1.907,1.907
661.316,0,3.814,0
662.155,0,1.907,1.907
662.994,0,0,3.814
663.834,0,0,3.814
664.673,0,1.907,4.767
665.512,0,2.8605,4.767
666.351,0,1.907,2.8605
667.191,0,1.907,2.8605
668.03,0,0,4.767
668.869,0,3.814,2.8605
669.708,0,4.767,2.8605
670.547,0,3.814,3.814
671.387,0,0,3.814
672.226,0,0,1.907
673.065,0,1.907,1.907
673.904,0,1.907,1.907
674.744,0,1.907,1.907
675.583,0,1.907,0
676.422,0,2.8605,2.8605
677.261,0,2.8605,4.767
678.101,0,2.8605,1.907
678.94,0,3.814,4.767
679.779,0,1.907,4.767
680.618,0,1.907,0
681.458,0,0,0
682.297,0,2.8605,2.8605
683.136,0,1.907,2.8605
683.975,0,3.814,1.907
684.814,0,2.8605,1.907
685.654,0,1.907,3.814
686.493,0,2.8605,2.8605
687.332,0,0,0
688.171,0,0,1.907
689.011,0,0,1.907
689.85,0,2.8605,0
690.689,0,1.907,0
691.528,0,0,0
692.368,0,1.907,1.907
693.207,0,1.907,1.907
694.046,0,3.814,3.814
694.885,0,4.767,4.767
695.724,0,3.814,2.8605
696.564,0,1.907,2.8605
697.403,0,0,2.8605
698.242,0,1.907,4.767
699.081,0,1.907,2.8605
699.921,0,1.907,1.907
700.76,0,1.907,1.907
701.599,0,1.907,0
702.438,0,1.907,1.907
703.278,0,0,1.907
704.117,0,1.907,2.8605
704.956,0,0,1.907
705.795,0,2.8605,1.907
706.635,0,3.814,2.8605
707.474,0,2.8605,2.8605
708.313,0,1.907,1.907
709.152,0,0,0
709.991,0,0,0
710.831,0,0,2.8605
711.67,0,1.907,2.8605
712.509,0,0,0
713.348,0,1.907,1.907
714.188,0,0,1.907
715.027,0,0,2.8605
715.866,0,0,0
716.705,0,2.8605,0
717.545,0,2.8605,0
718.384,0,0,2.8605
719.223,0,1.907,5.72099
720.062,0,1.907,2.8605
720.901,0,0,1.907
721.741,0,0,1.907
722.58,0,0,1.907
723.419,0,0,3.814
724.258,0,2.8605,4.767
725.098,0,1.907,3.814
725.937,0,0,0
726.776,0,1.907,1.907
727.615,0,1.907,3.814
728.455,0,4.767,13.3469
729.294,0,7.628,16.2088
730.133,0,1.907,4.767
730.972,0,1.907,4.767
731.812,0,0,4.767
732.651,0,1.907,5.72099
733.49,0,1.907,1.907
734.329,0,1.907,1.907
735.168,0,0,3.814
736.008,0,0,1.907
736.847,0,0,2.8605
737.686,0,0,0
738.525,0,0,3.814
739.365,0,0,4.767
740.204,0,0,1.907
741.043,0,0,1.907
741.882,0,0,1.907
742.722,0,0,3.814
743.561,0,0,4.767
744.4,0,0,2.8605
745.239,0,0,1.907
746.078,0,0,1.907
746.918,0,1.907,1.907
747.757,0,1.907,0
748.596,0,2.8605,0
749.435,0,0,0
750.275,0,0,0
751.114,0,1.907,4.767
751.953,0,1.907,7.628
752.792,0,0,3.814
753.632,0,0,3.814
754.471,0,0,8.58148
755.31,0,0,4.767
756.149,0,1.907,1.907
756.989,0,1.907,2.8605
757.828,0,1.907,2.8605
758.667,0,1.907,3.814
759.506,0,0,2.8605
760.345,0,0,2.8605
761.185,0,0,2.8605
762.024,0,0,0
762.863,0,0,1.907
763.702,0,1.907,2.8605
764.542,0,2.8605,1.907
765.381,0,0,1.907
766.22,0,0,1.907
767.059,0,1.907,2.8605
767.899,0,1.907,5.72099
768.738,0,0,4.767
769.577,0,0,4.767
770.416,0,0,4.767
771.255,0,0,1.907
772.095,0,0,3.814
772.934,0,0,2.8605
773.773,0,0,2.8605
774.612,0,0,2.8605
775.452,0,1.907,5.72099
776.291,0,1.907,3.814
777.13,0,0,0
777.969,0,0,4.767
778.809,0,1.907,4.767
779.648,0,1.907,1.907
780.487,0,0,0
781.326,0,0,0
782.166,0,0,0
783.005,0,0,1.907
783.844,0,1.907,2.8605
784.683,0,0,2.8605
785.522,0,0,1.907
786.362,0,0,0
787.201,0,0,3.814
788.04,0,0,0
788.879,0,0,1.907
789.719,0,0,4.767
790.558,0,0,3.814
791.397,0,0,3.814
792.236,0,0,3.814
793.076,0,0,1.907
793.915,0,0,1.907
794.754,0,0,1.907
795.593,0,0,0
796.432,0,0,0
797.272,0,1.907,1.907
798.111,0,0,1.907
798.95,0,0,1.907
799.789,0,0,2.8605
800.629,0,0,3.814
801.468,0,0,3.814
802.307,0,1.907,0
803.146,0,1.907,1.907
803.986,0,0,3.814
804.825,0,0,3.814
805.664,0,0,2.8605
806.503,0,0,1.907
807.343,0,0,0
808.182,0,0,0
809.021,0,0,0
809.86,0,0,1.907
810.699,0,0,0
811.539,0,0,2.8605
812.378,0,0,0
813.217,0,0,2.8605
814.056,0,1.907,4.767
814.896,0,4.767,3.814
815.735,0,4.767,3.814
816.574,0,1.907,3.814
817.413,0,0,4.767
818.253,0,2.8605,5.72099
819.092,0,1.907,4.767
819.931,0,0,4.767
820.77,0,0,2.8605
821.609,0,0,3.814
822.449,0,0,1.907
823.288,0,0,2.8605
824.127,0,0,2.8605
824.966,0,0,1.907
825.806,0,0,3.814
826.645,0,0,4.767
827.484,0,0,4.767
828.323,0,0,1.907
829.163,0,1.907,2.8605
830.002,0,1.907,2.8605
830.841,0,1.907,3.814
831.68,0,0,1.907
832.52,0,0,0
833.359,0,0,2.8605
834.198,0,2.8605,3.814
835.037,0,0,2.8605
835.876,0,0,0
836.716,0,1.907,0
837.555,0,1.907,1.907
838.394,0,1.907,2.8605
839.233,0,1.907,1.907
840.073,0,0,2.8605
840.912,0,1.907,3.814
841.751,0,2.8605,3.814
842.59,0,2.8605,3.814
843.43,0,1.907,2.8605
844.269,0,0,1.907
845.108,0,0,0
845.947,0,2.8605,0
846.786,0,1.907,1.907
847.626,0,1.907,1.907
848.465,0,2.8605,1.907
849.304,0,1.907,3.814
850.143,0,10.4852,12.3934
850.983,0,12.3934,12.3934
851.822,0,2.8605,0
852.661,0,0,3.814
853.5,0,2.8605,1.907
854.34,0,1.907,1.907
855.179,0,0,2.8605
856.018,0,1.907,1.907
856.857,0,0,2.8605
857.697,0,1.907,4.767
858.536,0,0,4.767
859.375,0,1.907,3.814
860.214,0,1.907,4.767
861.053,0,0,3.814
861.893,0,1.907,1.907
862.732,0,1.907,2.8605
863.571,0,0,2.8605
864.41,0,0,1.907
865.25,0,0,0
866.089,0,0,2.8605
866.928,0,1.907,2.8605
867.767,0,1.907,0
868.607,0,0,0
869.446,0,1.907,0
870.285,0,1.907,1.907
871.124,0,0,1.907
871.964,0,2.8605,3.814
872.803,0,1.907,1.907
873.642,0,1.907,2.8605
874.481,0,1.907,1.907
875.32,0,1.907,2.8605
876.16,0,2.8605,3.814
876.999,0,0,1.907
877.838,0,0,4.767
878.677,0,0,4.767
879.517,0,0,2.8605
880.356,0,0,0
881.195,0,0,1.907
882.034,0,1.907,2.8605
882.874,0,0,3.814
883.713,0,0,3.814
884.552,0,0,3.814
885.391,0,0,2.8605
886.23,0,1.907,0
887.07,0,0,0
887.909,0,1.907,1.907
888.748,0,3.814,4.767
889.587,0,1.907,3.814
890.427,0,2.8605,1.907
891.266,0,1.907,3.814
892.105,0,0,1.907
892.944,0,0,0
893.784,0,0,1.907
894.623,0,0,1.907
895.462,0,1.907,1.907
896.301,0,1.907,1.907
897.141,0,0,1.907
897.98,0,0,1.907
898.819,0,0,1.907
899.658,0,4.767,1.907
900.497,0,6.67345,0
901.337,0,1.907,2.8605
902.176,0,1.907,1.907
903.015,0,1.907,3.814
903.854,0,0,2.8605
904.694,0,0,2.8605
905.533,0,0,1.907
906.372,0,1.907,1.907
907.211,0,0,0
908.051,0,0,1.907
908.89,0,0,2.8605
