Time [s],x-axis [g],y-axis [g],z-axis [g]
0.679855,-0.797272,-1.97601,-9.57489
0.680145,-0.831604,1.19209,-9.43375
0.680436,-0.892639,0.179291,-11.2858
0.680727,-0.968933,0.738144,-6.68907
0.681018,-1.0376,2.18964,-9.11522
0.681309,-1.0643,-0.411987,-5.32341
0.6816,-1.02615,0.125885,-5.99098
0.681891,-0.904083,0.204086,-2.37656
0.682182,-0.696182,-0.484467,-1.51444
0.682473,-0.417709,0.139236,-1.34277
0.682764,-0.104904,1.56212,4.63867
0.683055,0.198364,1.25694,6.37055
0.683345,0.448227,-1.47057,7.12586
0.683636,0.612259,-0.677109,6.09017
0.683927,0.675202,-0.265122,7.80869
0.684218,0.631333,-2.25449,9.17816
0.684509,0.505448,-0.612259,9.30977
0.6848,0.314713,2.76756,6.99234
0.685091,0.0915527,-0.751495,8.93021
0.685382,-0.137329,-1.25122,7.11823
0.685673,-0.35286,0.627518,3.55148
0.685964,-0.53215,-2.42043,4.55475
0.686255,-0.665665,-1.80435,0.650406
0.686545,-0.743866,1.60217,-0.976563
0.686836,-0.766754,1.38474,-2.22778
0.687127,-0.738144,-0.118256,-3.47138
0.687418,-0.679016,-0.0839234,-5.24712
0.687709,-0.619888,0.162125,-8.41713
0.688,-0.591278,-0.816345,-8.9283
0.688291,-0.612259,-0.0724793,-8.49915
0.688582,-0.694275,0.631333,-10.4466
0.688873,-0.822067,1.93214,-8.88634
0.689164,-0.963211,0.574112,-8.11196
0.689455,-1.07193,-0.238419,-3.74413
0.689745,-1.10436,1.0376,-6.56128
0.690036,-1.03951,-1.38283,-1.69945
0.690327,-0.865936,0.816345,-1.37711
0.690618,-0.608444,0.734329,-0.0362396
0.690909,-0.299454,-0.165939,4.40598
0.6912,0.0114441,1.40572,3.47328
0.691491,0.282288,-0.411987,7.62558
0.691782,0.480652,-0.371933,4.28581
0.692073,0.593186,-1.58882,5.62096
0.692364,0.616074,-0.392914,7.00188
0.692655,0.562668,-0.551224,9.87816
0.692945,0.440598,-0.0877381,9.00459
0.693236,0.270844,1.78146,6.97708
0.693527,0.0648499,-0.570297,7.31278
0.693818,-0.154495,-2.42043,5.69534
0.694109,-0.370026,-0.91362,4.3335
0.6944,-0.558853,-1.18637,2.25258
0.694691,-0.69809,0.617981,1.3504
0.694982,-0.778198,1.52397,-1.62315
0.695273,-0.801087,-0.211716,-1.98555
0.695564,-0.78392,0.854492,-6.53076
0.695855,-0.751495,-0.467301,-6.79588
0.696145,-0.741959,-1.73569,-8.10242
0.696436,-0.780106,0.160217,-9.20487
0.696727,-0.865936,1.95122,-10.3111
0.697018,-0.989914,-0.204086,-8.41332
0.697309,-1.11008,1.73187,-8.97217
0.6976,-1.18256,0.152588,-7.20787
0.697891,-1.1673,-0.606537,-4.88091
0.698182,-1.04332,0.799179,-4.83513
0.698473,-0.82016,-0.396729,-1.90353
0.698764,-0.522614,0.682831,-0.289917
0.699055,-0.200272,0.804901,2.86102
0.699345,0.106812,1.00327,3.70789
0.699636,0.354767,-0.284195,6.18172
0.699927,0.526428,-0.0076294,5.38063
0.700218,0.614166,-1.24931,7.22313
0.700509,0.623703,-2.12097,6.54411
0.7008,0.56839,-0.221252,9.53675
0.701091,0.455856,1.67275,9.45854
0.701382,0.297546,-1.15395,9.34029
0.701673,0.101089,0.997544,7.98035
0.701964,-0.118256,-0.680924,3.9444
0.702255,-0.335693,-4.01688,5.07546
0.702545,-0.530243,0.47493,1.86729
0.702836,-0.675202,1.29128,1.52588
0.703127,-0.753403,0.37384,0.207901
0.703418,-0.768662,1.41716,-6.30951
0.703709,-0.740051,-0.993729,-2.17629
0.704,-0.694275,-1.02234,-6.58226
0.704291,-0.671387,-0.0610352,-9.77326
0.704582,-0.69809,-0.0076294,-7.04765
0.704873,-0.785828,0.997544,-9.44138
0.705164,-0.917435,1.28746,-8.68416
0.705455,-1.05476,0.270844,-9.97925
0.705745,-1.15395,0.50354,-7.6313
0.706036,-1.1673,0.0915527,-6.95992
0.706327,-1.06812,-0.598908,-2.5177
0.706618,-0.854492,1.00899,-2.74086
0.706909,-0.555039,0.869751,-0.610352
0.7072,-0.221252,0.295639,3.49045
0.707491,0.0934601,0.835419,3.29399
0.707782,0.337601,-0.747681,5.81741
0.708073,0.486374,-0.0801087,5.20325
0.708364,0.534058,-0.0858307,6.29425
0.708655,0.50354,-1.88637,5.94711
0.708945,0.425339,-0.709534,7.53212
0.709236,0.326157,0.293732,10.1547
0.709527,0.211716,0.513077,8.58307
0.709818,0.0858307,0.497818,7.09725
0.710109,-0.0629425,-0.312805,5.45311
0.7104,-0.236511,-2.27737,6.77872
0.710691,-0.423431,-1.23596,3.29018
0.710982,-0.595093,0.0801087,2.52724
0.711273,-0.719071,0.549317,-0.102997
0.711564,-0.776291,0.637055,-4.03977
0.711855,-0.766754,0.179291,-4.14848
0.712145,-0.719071,-1.18256,-6.75583
0.712436,-0.675202,0.232697,-6.27327
0.712727,-0.684738,0.770569,-8.88062
0.713018,-0.770569,-0.270844,-6.75774
0.713309,-0.923157,0.394821,-11.0912
0.7136,-1.09863,1.09291,-9.79042
0.713891,-1.23596,0.524521,-8.91876
0.714182,-1.27602,1.13297,-5.3997
0.714473,-1.18446,0.925064,-5.08118
0.714764,-0.970841,-2.21252,-2.74849
0.715055,-0.669479,-0.0152588,0.627518
0.715345,-0.337601,1.77574,-0.486374
0.715636,-0.0267029,0.141144,3.38554
0.715927,0.225067,2.04086,2.61307
0.716218,0.404358,-1.21307,6.29425
0.716509,0.509262,-0.684738,6.31142
0.7168,0.555039,-0.56839,7.12776
0.717091,0.553131,-1.75285,8.14438
0.717382,0.507355,-0.169754,9.15337
0.717673,0.413895,-0.699997,9.37462
0.717964,0.267029,0.858307,6.78063
0.718255,0.076294,1.08147,6.72913
0.718545,-0.148773,-1.22261,7.00379
0.718836,-0.375748,-1.37138,3.2959
0.719127,-0.576019,-1.91879,1.75476
0.719418,-0.713349,0.679016,-0.038147
0.719709,-0.778198,1.09673,-1.61171
0.72,-0.772476,1.13487,-3.77846
0.720291,-0.715256,0.34523,-6.94657
0.720582,-0.652313,-1.894,-7.13921
0.720873,-0.619888,-0.520706,-8.49343
0.721164,-0.656128,1.44386,-7.07245
0.721455,-0.768662,-0.391007,-8.19016
0.721745,-0.938416,0.955582,-8.8749
0.722036,-1.12343,2.27928,-10.1357
0.722327,-1.25885,-1.06049,-6.33812
0.722618,-1.28365,1.55449,-4.72069
0.722909,-1.16539,-0.585556,-4.27055
0.7232,-0.900269,-1.97792,-2.0237
0.723491,-0.528336,2.17629,0.822067
0.723782,-0.114441,0.41008,4.35448
0.724073,0.263214,0.421524,3.97873
0.724364,0.541687,1.25504,5.44548
0.724655,0.688553,-0.211716,5.66101
0.724945,0.705719,-2.10762,6.44684
0.725236,0.617981,-1.30463,7.12586
0.725527,0.463486,-0.0896454,8.69751
0.725818,0.282288,-0.411987,7.89833
0.726109,0.0953674,0.881195,8.15773
0.7264,-0.0801087,0.463486,6.71196
